nivel,usuario_objetivo,periodo,id,date,text,username,user_displayname,user_id,reply_count,retweet_count,like_count,quote_count,views_count,lang,url,user_followers,user_verified,user_location
1,todonoticias,rango,2010133585903415721,2026-01-10 23:36:08+00:00,El hijo de Maduro compartió el primer mensaje de su padre desde la cárcel: “Estamos bien” https://t.co/jDNNhRjuiW,todonoticias,TN - Todo Noticias,25992212,5,0,3,1,4459.0,es,https://x.com/todonoticias/status/2010133585903415721,5719809,False,Argentina
1,todonoticias,rango,2010133492349227184,2026-01-10 23:35:45+00:00,El Vaticano negoció la salida de Nicolás Maduro a Rusia para evitar la operación de Estados Unidos https://t.co/F1P5M28XyT,todonoticias,TN - Todo Noticias,25992212,8,3,5,2,5649.0,es,https://x.com/todonoticias/status/2010133492349227184,5719809,False,Argentina
1,todonoticias,rango,2010132083159544064,2026-01-10 23:30:09+00:00,Los vencimientos de deuda que enfrenta la Argentina en 2026 y 2027 https://t.co/2fwclUhPc5,todonoticias,TN - Todo Noticias,25992212,0,4,2,0,4253.0,es,https://x.com/todonoticias/status/2010132083159544064,5719809,False,Argentina
1,todonoticias,rango,2010129083552931903,2026-01-10 23:18:14+00:00,El Gobierno cuestionó el recuento de votos en Honduras y respaldó a Nasry Asfura como presidente electo https://t.co/jzsizb3ghi,todonoticias,TN - Todo Noticias,25992212,0,2,5,0,4072.0,es,https://x.com/todonoticias/status/2010129083552931903,5719809,False,Argentina
1,todonoticias,rango,2010128318683640109,2026-01-10 23:15:12+00:00,No es el suavizante: el truco que usan en las lavanderías para que la ropa huela bien por más tiempo https://t.co/e64PgFCwCr,todonoticias,TN - Todo Noticias,25992212,1,1,6,0,6827.0,es,https://x.com/todonoticias/status/2010128318683640109,5719809,False,Argentina
1,todonoticias,rango,2010125970116624531,2026-01-10 23:05:52+00:00,Aplastante goleada: el Manchester City le ganó 10-1 a un equipo de la tercera división en la FA Cup y marcó un récord impresionante https://t.co/XwANiyXBys,todonoticias,TN - Todo Noticias,25992212,1,1,2,0,3873.0,es,https://x.com/todonoticias/status/2010125970116624531,5719809,False,Argentina
1,todonoticias,rango,2010122577931366675,2026-01-10 22:52:23+00:00,"El duro testimonio de uno de los voluntarios que colaboran en los operativos por los incendios en Chubut: ""Estamos sobrepasados"" https://t.co/VPnDC2JDgD",todonoticias,TN - Todo Noticias,25992212,3,2,11,1,4858.0,es,https://x.com/todonoticias/status/2010122577931366675,5719809,False,Argentina
1,todonoticias,rango,2010119174333345915,2026-01-10 22:38:52+00:00,🔴 AHORA | El fuego llegó a las casas en Chubut https://t.co/2JLP7R4gg0 https://t.co/4zQhyz2hNf,todonoticias,TN - Todo Noticias,25992212,42,220,997,20,74221.0,es,https://x.com/todonoticias/status/2010119174333345915,5719809,False,Argentina
1,todonoticias,rango,2010117973281853608,2026-01-10 22:34:05+00:00,"Fue a La Cabrera, pidió un ojo de bife con papas fritas, puré y una bebida: mostró el ticket final https://t.co/Lf7m4HtE1C",todonoticias,TN - Todo Noticias,25992212,31,1,9,1,19395.0,es,https://x.com/todonoticias/status/2010117973281853608,5719809,False,Argentina
1,todonoticias,rango,2010113859743268934,2026-01-10 22:17:44+00:00,Quién era la influencer de 19 años que murió de cáncer y había sido mamá en 2024 https://t.co/Rgdg4Na3Vj,todonoticias,TN - Todo Noticias,25992212,1,1,5,0,4384.0,es,https://x.com/todonoticias/status/2010113859743268934,5719809,False,Argentina
